Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.277000	0.237548	1000	0.277000	0.277000	0.306753	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306741	
1000	0.323000	0.237548	1000	0.323000	0.323000	0.306755	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.306750	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306738	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306747	
1000	0.338000	0.237548	1000	0.338000	0.338000	0.306774	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.306776	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306779	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306797	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.306793	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306794	
1000	0.311000	0.237548	1000	0.311000	0.311000	0.306798	
1000	0.288000	0.237548	1000	0.288000	0.288000	0.306782	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306803	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.306786	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306805	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306824	
1000	0.281000	0.237548	1000	0.281000	0.281000	0.306802	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306801	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306800	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306805	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306807	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.306818	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.306804	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306813	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306816	
1000	0.283000	0.237548	1000	0.283000	0.283000	0.306795	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.306811	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.306831	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306834	
1000	0.269000	0.237548	1000	0.269000	0.269000	0.306802	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306811	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.306832	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.306818	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306810	
