Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
440	0.009091	560	0.253571	6.324110	0	0.000000	1.271975	560	0.253571	0.146000	0.159018	
453	0.004415	547	0.281536	6.324110	0	0.000000	1.271975	547	0.281536	0.156000	0.159015	
438	0.015982	562	0.270463	6.324110	0	0.000000	1.271975	562	0.270463	0.159000	0.159015	
459	0.004357	541	0.247689	6.324110	0	0.000000	1.271975	541	0.247689	0.136000	0.158996	
437	0.020595	563	0.269982	6.324110	0	0.000000	1.271975	563	0.269982	0.161000	0.158997	
415	0.019277	585	0.282051	6.324110	0	0.000000	1.271975	585	0.282051	0.173000	0.159009	
444	0.011261	556	0.269784	6.324110	0	0.000000	1.271975	556	0.269784	0.155000	0.159006	
433	0.006928	567	0.301587	6.324110	0	0.000000	1.271975	567	0.301587	0.174000	0.159019	
435	0.006897	565	0.260177	6.324110	0	0.000000	1.271975	565	0.260177	0.150000	0.159011	
451	0.004435	549	0.271403	6.324110	0	0.000000	1.271975	549	0.271403	0.151000	0.159004	
444	0.004505	556	0.278777	6.324110	0	0.000000	1.271975	556	0.278777	0.157000	0.159002	
425	0.011765	575	0.283478	6.324110	0	0.000000	1.271975	575	0.283478	0.168000	0.159010	
429	0.009324	571	0.316988	6.324110	0	0.000000	1.271975	571	0.316988	0.185000	0.159032	
419	0.002387	581	0.259897	6.324110	0	0.000000	1.271975	581	0.259897	0.152000	0.159026	
436	0.006881	564	0.285461	6.324110	0	0.000000	1.271975	564	0.285461	0.164000	0.159030	
468	0.002137	532	0.263158	6.324110	0	0.000000	1.271975	532	0.263158	0.141000	0.159015	
432	0.009259	568	0.274648	6.324110	0	0.000000	1.271975	568	0.274648	0.160000	0.159016	
429	0.002331	571	0.283713	6.324110	0	0.000000	1.271975	571	0.283713	0.163000	0.159019	
421	0.009501	579	0.272884	6.324110	0	0.000000	1.271975	579	0.272884	0.162000	0.159022	
