"Name_on_tree_tip2","glottolog_id","xd_ids","soc_ids","Language","Tones","Phonemes","Consonants","Vowels","Lang.Source","InventoryID","ASJPVowelRatio"
"G63_Bena","bena1262","xd78","Ad11","Bena",2,34,22,10,"Phoible (ph)",1513,0.469311475409836
"G64_Pangwa","pang1287","","","Pangwa",0,35,23,12,"Phoible (ph)",1388,0.480488175893097
"G65_Kinga","nucl1379","","",NA,NA,NA,NA,NA,NA,NA,0.469387755102041
"G66_Wanji","vwan1235","","",NA,NA,NA,NA,NA,NA,NA,0.494623655913978
"H11_Beembe","beem1239","","","BEEMBE",0,26,16,10,"Phoible (upsid)",251,0.512942879705186
"H111_Hangala","laar1238","","",NA,NA,NA,NA,NA,NA,NA,0.489384522616921
"H12_Civili_Congo","vili1238","","",NA,NA,NA,10,NA,"Extra",NA,0.465219421101774
"H13_Kikunyi_1989","kuny1238","","","Nyanga",4,55,44,7,"Phoible (ph)",1365,0.456375838926175
"H131_Kisundi_Congo_Kimongo_1988","suun1239","xd42","Ac18","Ngazidja",5,NA,NA,NA,"ANU",2201,0.445512820512821
"H16_Cilinji","yomb1244","","","Yombe",4,NA,NA,NA,"ANU",2338,0.462021869986902
"H16_Cimbala","sans1272","","",NA,NA,NA,NA,NA,NA,NA,0.493111618111618
"H16_Cizobe","yomb1244","","","Yombe",4,NA,NA,NA,"ANU",2338,0.462021869986902
"H16_Kikongo","koon1244","","","Kongo",2,NA,NA,NA,"ANU",760,0.46782601788391
"H16_Kimbata_Ngidinga","east2782","","",NA,NA,NA,NA,NA,NA,NA,NA
"H16_Kimbeko","east2782","","",NA,NA,NA,NA,NA,NA,NA,NA
"H16a_Kisikongo_2013","sans1272","xd38","Ac14",NA,NA,NA,NA,NA,NA,NA,0.493111618111618
"H16a_Kisolongo_DRC_2012","sans1272","","",NA,NA,NA,NA,NA,NA,NA,0.493111618111618
"H16b_Kindibu_2013","koon1244","","","Kongo",2,NA,NA,NA,"ANU",760,0.46782601788391
"H16c_Kiyombe_DRC_1982","yomb1244","","","Yombe",4,NA,NA,NA,"ANU",2338,0.462021869986902
"H16c_Yombe","yomb1244","xd74","Ac8","Yombe",4,NA,NA,NA,"ANU",2338,0.462021869986902
"H16d_Ciwoyo_DRC_2012","yomb1244","","","Yombe",4,NA,NA,NA,"ANU",2338,0.462021869986902
"H16f_Laadi","laar1238","","",NA,NA,NA,NA,NA,NA,NA,0.489384522616921
"H16g_Kimpangu_2012","east2782","","",NA,NA,NA,NA,NA,NA,NA,NA
"H16g_Ntandu","east2782","","",NA,NA,NA,NA,NA,NA,NA,NA
"H16h_Kinkanu_2012","east2782","","",NA,NA,NA,NA,NA,NA,NA,NA
"H21a_Kimbundu","kimb1241","","","KiMbundu",0,NA,NA,NA,"ANU",2239,0.51108162946777
"H31_Yaka","yaka1269","xd45","Ac20",NA,NA,NA,NA,NA,NA,NA,0.505010513835687
"H32_Suku","suku1259","xd41","Ac17, SCCS6",NA,NA,NA,NA,NA,NA,NA,0.450189933523267
"H321_Soonde","sond1250","xd54","Ac29",NA,NA,NA,NA,NA,NA,NA,0.465763792689925
"H41_Mbala","mbal1257","xd39","Ac15",NA,NA,NA,NA,NA,NA,NA,0.457451641417762
"H42_Hunganna","hung1278","","","Kihungan",3,33,20,10,"Phoible (ph)",1114,0.426775592902205
"JD53_Shi","shii1238","xd131","Ae13",NA,NA,NA,NA,NA,NA,NA,0.505289803777061
"JD62_Rundi","rund1242","xd184","Ae8","Rundi",2,29,22,5,"Phoible (ph)",989,0.490260466602748
"JD64_Shubi","shub1238","","",NA,NA,NA,NA,NA,NA,NA,NA
"JD65_Hangaza","hang1260","","","Kihangaza",2,35,23,10,"Phoible (ph)",1643,0.5
"JD66_Kiha","haaa1252","xd132","Ae14",NA,2,NA,23,5,"Extra",NA,0.512334479246244
"JD67_Kivinza","vinz1238","","",NA,NA,NA,NA,NA,NA,NA,0.472878055010137
"JE11_Runyoro","nyor1246","xd87","Ad2",NA,NA,NA,NA,NA,NA,NA,0.522281639928699
"JE12_Rutooro","toor1238","xd118","Ad48",NA,NA,NA,NA,NA,NA,NA,0.520108428727946
"JE13_Runyankore","nyan1307","","","Runyankore",0,28,20,8,"Phoible (ph)",990,0.497817600568688
"JE14_Rukiga","chig1238","","","Nkore-Kiga",2,NA,NA,NA,"ANU",776,0.522574369781957
"JE15_Luganda","gand1255","xd124","Ad7, SCCS12","Luganda",4,33,19,10,"Phoible (aa)",770,0.462109404817924
"JE16_Lusoga","soga1242","xd116","Ad46",NA,NA,NA,NA,NA,NA,NA,0.480341178617041
"JE17_Gwere","gwer1238","","","Gwere",3,NA,NA,NA,"ANU",2170,0.493268466011796
"JE21_Runyambo","nyam1277","","","Kinyambo",3,33,20,10,"Phoible (ph)",1392,0.508522727272727
"JE22_Haya","haya1250","xd112","Ad42","Haya",0,29,19,10,"Phoible (ph)",884,0.508868088694361
"JE23_Zinza","zinz1238","xd119","Ad49","Luzinza",0,30,20,10,"Phoible (ph)",1640,0.478842488303587
"JE24_Kerebe","kere1283","xd113","Ad43",NA,NA,NA,NA,NA,NA,NA,0.496340614284163
"JE25_Jita","jita1239","","","Jita",2,29,17,10,"Phoible (ph)",1439,0.488813945436462
"JE25_Kilegi","jita1239","","","Jita",2,29,17,10,"Phoible (ph)",1439,0.488813945436462
"JE25_Mkwaya","jita1239","","","Jita",2,29,17,10,"Phoible (ph)",1439,0.488813945436462
"JE31_Lumasaaba","masa1299","xd126","Ad9","Orusyan",0,63,51,12,"Phoible (ph)",1367,0.504561483067438
"JE31c_Bukusu","buku1249","xd111","Ad41","Bukusu",0,30,20,10,"Phoible (ph)",1201,0.483031674208145
"JE32_Luyia","saam1283","","","Lusaamia",4,34,20,10,"Phoible (ph)",1489,0.45679012345679
"JE34_Samialugwe","saam1283","","","Lusaamia",4,34,20,10,"Phoible (ph)",1489,0.45679012345679
"JE401_Ngoreme","ngur1263","","",NA,NA,NA,NA,NA,NA,NA,0.467213114754098
"JE402_Ikizu","ikiz1238","","",NA,NA,NA,NA,NA,NA,NA,0.485683738693927
"JE403_Suba","suba1238","","",NA,NA,NA,NA,NA,NA,NA,0.488439306358382
"JE404_Shasi","ikiz1238","","",NA,NA,NA,NA,NA,NA,NA,0.485683738693927
"JE41_Maragoli","logo1258","","",NA,NA,NA,NA,NA,NA,NA,0.494538815396943
"JE42_Gusii","gusi1247","xd79","Ad12","Gusii",5,NA,NA,NA,"ANU",2168,0.517728041839717
"JE43_Kuria","kuri1259","","","Kuria",0,22,15,7,"Phoible (aa)",758,0.490337985076151
"JE43_Kuria_Mago","kuri1259","","","Kuria",0,22,15,7,"Phoible (aa)",758,0.490337985076151
"JE43_Kuria_Tari","kuri1259","","","Kuria",0,22,15,7,"Phoible (aa)",758,0.490337985076151
"JE44_Zanaki","zana1238","","",NA,NA,NA,NA,NA,NA,NA,0.489971346704871
"JE45_Nata","ikom1245","","",NA,2,NA,18,7,"Extra",NA,0.484567901234568
"K11_Ciokwe","chok1245","xd36","Ac12","Chokwe",4,NA,NA,NA,"ANU",2119,0.473695054945055
"K14_Lwena","luva1239","xd35","Ac11","Luvale",4,36,22,10,"Phoible (spa)",146,0.461720492422247
"K15_Mbunda","mbun1249","","",NA,NA,NA,NA,NA,NA,NA,0.471068222172524
"K21_Lozi","lozi1239","xd26","Ab3, SCCS4","Lozi",0,NA,NA,NA,"ANU",764,0.484756756756757
"K31_Luyana","luya1241","","","Louyi",0,22,17,5,"Phoible (ph)",890,0.511083096659525
"K33_Kwangali","kwan1273","","","kwangari",0,27,22,5,"Phoible (ph)",1272,0.475959256974753
"K332_Rumanyo","diri1252","","","diriku",0,28,23,5,"Phoible (ph)",1271,0.46258445945946
"Kom_Grassfields","komc1235","xd176","Ae54","Kom",7,75,59,9,"Phoible (aa)",750,0.41581069169811
"Kulung_Jarawan","kulu1255","","",NA,NA,NA,NA,NA,NA,NA,0.477272727272727
"L11_Pende","phen1239","xd44","Ac2",NA,NA,NA,NA,NA,NA,NA,0.459331471774523
"L12b_Holu","holu1245","","",NA,NA,NA,NA,NA,NA,NA,0.483954628362973
"L13_Kwese","kwes1244","","","kwezo",3,25,16,6,"Phoible (ph)",1291,0.48409718698912
"L221_Lwalwa","lwal1238","","",NA,NA,NA,NA,NA,NA,NA,0.50139284020863
"L23_Songe","song1303","xd136","Ae18",NA,NA,NA,NA,NA,NA,NA,0.50370110894008
"L31a_Luba-Kasai","luba1250","xd182","Ae6","Kiluba",2,NA,NA,NA,"ANU",758,0.502385222381636
"L32_Kanyok","kany1247","","",NA,NA,NA,NA,NA,NA,NA,0.377495179774048
"L33_Luba-Shaba","luba1250","","","Kiluba",2,NA,NA,NA,"ANU",758,0.502385222381636
"L34_Hemba","kaon1241","","",NA,NA,NA,NA,NA,NA,NA,0.492451473759885
"L35_Sanga","sang1331","xd137","Ae19",NA,NA,NA,NA,NA,NA,NA,0.461538461538462
"L41_Kaonde","kaon1241","xd58","Ac32",NA,NA,NA,NA,NA,NA,NA,0.492451473759885
"L51_Salampasu","sala1268","","",NA,NA,NA,NA,NA,NA,NA,0.372093023255814
"L52_Lunda","lund1266","xd72","Ac6","Lunda",0,32,22,10,"Phoible (ph)",927,0.483124353180454
"L53_Runda","ruun1238","","",NA,NA,NA,NA,NA,NA,NA,0.358095238095238
"L62_Nkoya","nkoy1244","","",NA,NA,NA,NA,NA,NA,NA,0.490416112274908
"M11_Pimbwe","pimb1238","xd89","Ad21",NA,NA,NA,NA,NA,NA,NA,0.481792717086835
"M12_Lungwa","rung1255","","",NA,NA,NA,NA,NA,NA,NA,0.495967594655602
"M13_Fipa","fipa1238","xd86","Ad19","Fipa",1,35,20,14,"Phoible (ph)",1659,0.487465181058496
"M14_Rungu","mamb1296","","","cilungu",7,36,19,10,"Phoible (ph)",1289,0.463244662148819
"M15_Mambwe","mamb1296","","","cilungu",7,36,19,10,"Phoible (ph)",1289,0.463244662148819
"M21_Ndali","ndal1241","","","Chindali",4,31,17,10,"Phoible (ph)",1471,0.475420436650445
"M21_Wanda","wand1264","","",NA,NA,NA,NA,NA,NA,NA,0.473417721518987
"M22_Namwanga","nyih1240","","",NA,NA,NA,NA,NA,NA,NA,0.501777154927289
"M23_Nyiha","nyih1240","","",NA,NA,NA,NA,NA,NA,NA,0.501777154927289
"M24_Malila","mali1279","","",NA,NA,NA,NA,NA,NA,NA,0.489913544668588
"M25_Safwa","safw1238","xd84","Ad17",NA,1,NA,NA,NA,"Extra",NA,0.48936170212766
"M28_Lambya","lamb1272","","",NA,NA,NA,NA,NA,NA,NA,0.468134374783991
"M31_Nyakyusa","nyak1260","xd123, xd83","Ad6, SCCS8, Ad16","Nyakyusa",0,NA,NA,NA,"ANU",2266,0.475818162314701
"M41_Taabwa","shil1264","xd61","Ac35",NA,NA,NA,NA,NA,NA,NA,NA
"M42_Bemba","bemb1257","xd55, xd60","Ac3, SCCS7, Ac34","Bemba",0,25,15,10,"Phoible (ph)",1188,0.481151945475391
"M52_Lala","lala1264","xd59","Ac33",NA,NA,NA,NA,NA,NA,NA,0.45985401459854
"M54_Lamba","lamb1271","xd71","Ac5","Lamba",3,NA,NA,NA,"ANU",762,0.468700265251989
"M61_Lenje","lenj1248","","","Lenje",0,NA,NA,NA,"ANU",2216,0.430656934306569
"M62_Soli","soli1239","","",NA,NA,NA,NA,NA,NA,NA,0.423357664233577
"M64_Tonga","tong1321","xd37","Ac13",NA,NA,NA,NA,NA,NA,NA,NA
"Mbula_Jarawan","mbul1260","","",NA,NA,NA,NA,NA,NA,NA,0.459135316418781
"Moghamo_Grassfields","meta1238","xd181","Ae59","Metta",5,33,20,8,"Phoible (aa)",785,NA
"Mungaka_Grassfields","mung1266","xd170","Ae49","Mungaka",3,33,21,9,"Phoible (ph)",946,0.417153756062851
"N11_Manda","mand1423","xd65","Ac39",NA,NA,NA,NA,NA,NA,NA,0.472584856396867
"N12_Ngoni","ngon1269","xd75","Ac9",NA,2,NA,NA,NA,"Extra",NA,NA
"N13_Matengo","mate1258","","",NA,NA,NA,NA,NA,NA,NA,0.482804054054054
"N14_Mpoto","mpot1240","","",NA,NA,NA,NA,NA,NA,NA,0.480509745127436
"N21_Tumbuka_Malawi","tumb1250","xd62","Ac36",NA,0,NA,21,5,"Extra",NA,0.436888454011742
"N31_Chewa","nyan1308","xd34, xd64","Ac10, Ac38","ChiNyanja",2,NA,NA,NA,"ANU",751,0.47029133649641
"N42_Kunda","kund1255","xd63","Ac37",NA,NA,NA,NA,NA,NA,NA,0.443037974683544
"Njen_Grassfields","njen1238","","",NA,NA,NA,NA,NA,NA,NA,0.368421052631579
"Oku_Grassfields","okuu1243","","","Oku",4,29,18,7,"Phoible (ph)",975,0.450327134986226
"P11_Ndengeleko","nden1248","","",NA,NA,NA,NA,NA,NA,NA,0.483181037876998
"P12_Rufiji","rufi1234","","",NA,NA,NA,NA,NA,NA,NA,NA
"P13_Matumbi","matu1259","","","matuumbi",3,23,15,5,"Phoible (ph)",1266,0.478274086259924
"P14_Ngindo","ngin1244","","",NA,NA,NA,NA,NA,NA,NA,0.455919395465995
"P15_Mbunga","mbun1248","","",NA,NA,NA,NA,NA,NA,NA,0.452153110047847
"P21_Yao","yaoo1241","xd73","Ac7","yao",4,29,18,7,"Phoible (ph)",1267,0.483167653023058
"P22_Mwera","mwer1247","","",NA,NA,NA,NA,NA,NA,NA,NA
"P23_Simakonde","mako1251","xd68","Ac41","Shimakonde",5,28,18,5,"Phoible (ph)",1007,0.494018769096464
"P25_Mabia","mako1251","","","Shimakonde",5,28,18,5,"Phoible (ph)",1007,0.494018769096464
"P31_Emakhua","makh1264","xd69","Ac42","Makua",2,NA,NA,NA,"ANU",768,0.486259338084134
"P31G_Ikorovere","makh1261","","",NA,NA,NA,NA,NA,NA,NA,0.491978609625668
"R11_Umbundu","umbu1257","xd28","Ab5, SCCS5","umbundu",0,30,20,10,"Phoible (ph)",1268,0.49012847156622
"R21_Kwanyama","kuan1247","","","Kwanyama",2,33,26,5,"Phoible (ph)",1501,0.517543859649123
"R22_Ndonga","shon1251","","","Shona",0,42,37,5,"Phoible (ph)",1008,0.478105478000045
"R31_Herero","here1253","xd10","Ab1","herero",2,26,19,5,"Phoible (ph)",1255,0.517576955323991
"S11_Shona","shon1251","xd19","Ab18","Shona",0,42,37,5,"Phoible (ph)",1008,0.478105478000045
"S16_Kalanga","here1253","","","herero",2,26,19,5,"Phoible (ph)",1255,0.517576955323991
"S21_Venda","vend1245","xd29","Ab6","Venda",2,NA,NA,NA,"ANU",792,0.458681765389082
"S31_Tswana","tswa1253","xd14","Ab13","Tswana",2,NA,NA,NA,"ANU",2320,0.458971004799748
"S311_Shekgalagari","kgal1244","","","Shekgalagari",2,53,43,8,"Phoible (ph)",1449,0.479166666666667
"S41_Xhosa","xhos1239","xd12, xd24, xd11","Ab11, Ab21b, Ab10","Xhosa",2,84,75,7,"Phoible (ph)",1319,0.441826464247099
"S42_Zulu","zulu1248","xd13","Ab12","ZULU",0,37,32,5,"Phoible (upsid)",647,0.475912835409125
"S44_Ndebele","nort2795","xd32","Ab9","Ndebele",2,68,61,5,"Phoible (ph)",1491,0.442710919706209
"S51_Tshwa","tswa1255","","","Tswa",2,NA,NA,NA,"ANU",2319,0.447552447552448
"S53_Tsonga","tson1249","xd27","Ab4, SCCS3","Tsonga",2,NA,NA,NA,"ANU",2318,0.445259336288837
"Tiv_Tivoid","tivv1240","xd320","Ah3, SCCS16","Tiv",3,40,31,6,"Phoible (ph)",1331,0.479502478122074
"Zaambo_Jarawan","mbul1260","","",NA,NA,NA,NA,NA,NA,NA,0.459135316418781
