Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.275000	16.692379	503	0.286282	0.009283	497	0.263581	0.275000	0.284571	
1000	0.299000	16.692379	491	0.338086	0.009283	509	0.261297	0.299000	0.284637	
1000	0.341000	16.692379	505	0.394059	0.009283	495	0.286869	0.341000	0.284891	
1000	0.300000	16.692379	467	0.342612	0.009283	533	0.262664	0.300000	0.284958	
1000	0.284000	16.692379	464	0.299569	0.009283	536	0.270522	0.284000	0.284954	
1000	0.288000	16.692379	515	0.304854	0.009283	485	0.270103	0.288000	0.284968	
1000	0.280000	16.692379	503	0.304175	0.009283	497	0.255533	0.280000	0.284946	
1000	0.294000	16.692379	499	0.324649	0.009283	501	0.263473	0.294000	0.284986	
1000	0.300000	16.692379	511	0.315068	0.009283	489	0.284254	0.300000	0.285051	
1000	0.314000	16.692379	514	0.322957	0.009283	486	0.304527	0.314000	0.285178	
1000	0.307000	16.692379	500	0.328000	0.009283	500	0.286000	0.307000	0.285273	
1000	0.302000	16.692379	511	0.320939	0.009283	489	0.282209	0.302000	0.285345	
1000	0.290000	16.692379	515	0.289320	0.009283	485	0.290722	0.290000	0.285365	
1000	0.300000	16.692379	512	0.345703	0.009283	488	0.252049	0.300000	0.285428	
1000	0.269000	16.692379	518	0.277992	0.009283	482	0.259336	0.269000	0.285358	
1000	0.292000	16.692379	511	0.309198	0.009283	489	0.274029	0.292000	0.285386	
1000	0.285000	16.692379	528	0.293561	0.009283	472	0.275424	0.285000	0.285384	
1000	0.304000	16.692379	495	0.315152	0.009283	505	0.293069	0.304000	0.285463	
1000	0.305000	16.692379	503	0.332008	0.009283	497	0.277666	0.305000	0.285545	
1000	0.301000	16.692379	547	0.307130	0.009283	453	0.293598	0.301000	0.285610	
1000	0.278000	16.692379	496	0.278226	0.009283	504	0.277778	0.278000	0.285578	
1000	0.304000	16.692379	496	0.306452	0.009283	504	0.301587	0.304000	0.285654	
1000	0.313000	16.692379	500	0.320000	0.009283	500	0.306000	0.313000	0.285767	
1000	0.282000	16.692379	505	0.302970	0.009283	495	0.260606	0.282000	0.285752	
1000	0.295000	16.692379	467	0.316916	0.009283	533	0.275797	0.295000	0.285790	
1000	0.312000	16.692379	499	0.344689	0.009283	501	0.279441	0.312000	0.285897	
1000	0.305000	16.692379	532	0.325188	0.009283	468	0.282051	0.305000	0.285974	
1000	0.283000	16.692379	487	0.299795	0.009283	513	0.267057	0.283000	0.285962	
1000	0.329000	16.692379	525	0.339048	0.009283	475	0.317895	0.329000	0.286136	
1000	0.281000	16.692379	502	0.302789	0.009283	498	0.259036	0.281000	0.286115	
1000	0.278000	16.692379	511	0.346380	0.009283	489	0.206544	0.278000	0.286083	
1000	0.282000	16.692379	509	0.316306	0.009283	491	0.246436	0.282000	0.286067	
1000	0.258000	16.692379	501	0.303393	0.009283	499	0.212425	0.258000	0.285955	
1000	0.299000	16.692379	497	0.321932	0.009283	503	0.276342	0.299000	0.286007	
1000	0.278000	16.692379	511	0.291585	0.009283	489	0.263804	0.278000	0.285975	
1000	0.292000	16.692379	513	0.300195	0.009283	487	0.283368	0.292000	0.285999	
1000	0.287000	16.692379	515	0.304854	0.009283	485	0.268041	0.287000	0.286003	
