Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.279000	19.439550	494	0.259109	0.008733	506	0.298419	0.279000	0.288259	
1000	0.270000	19.439550	500	0.268000	0.008733	500	0.272000	0.270000	0.288196	
1000	0.273000	19.439550	455	0.254945	0.008733	545	0.288073	0.273000	0.288143	
1000	0.259000	19.439550	506	0.260870	0.008733	494	0.257085	0.259000	0.288044	
1000	0.307000	19.439550	504	0.301587	0.008733	496	0.312500	0.307000	0.288108	
1000	0.281000	19.439550	508	0.250000	0.008733	492	0.313008	0.281000	0.288084	
1000	0.294000	19.439550	514	0.309339	0.008733	486	0.277778	0.294000	0.288104	
1000	0.274000	19.439550	518	0.264479	0.008733	482	0.284232	0.274000	0.288056	
1000	0.287000	19.439550	483	0.265010	0.008733	517	0.307544	0.287000	0.288053	
1000	0.279000	19.439550	481	0.272349	0.008733	519	0.285164	0.279000	0.288023	
1000	0.293000	19.439550	488	0.305328	0.008733	512	0.281250	0.293000	0.288039	
1000	0.305000	19.439550	507	0.317554	0.008733	493	0.292089	0.305000	0.288096	
1000	0.281000	19.439550	492	0.256098	0.008733	508	0.305118	0.281000	0.288072	
1000	0.281000	19.439550	494	0.248988	0.008733	506	0.312253	0.281000	0.288049	
1000	0.284000	19.439550	483	0.281573	0.008733	517	0.286267	0.284000	0.288035	
1000	0.299000	19.439550	497	0.305835	0.008733	503	0.292247	0.299000	0.288071	
1000	0.301000	19.439550	496	0.302419	0.008733	504	0.299603	0.301000	0.288114	
1000	0.275000	19.439550	486	0.283951	0.008733	514	0.266537	0.275000	0.288071	
1000	0.288000	19.439550	483	0.300207	0.008733	517	0.276596	0.288000	0.288071	
1000	0.274000	19.439550	507	0.258383	0.008733	493	0.290061	0.274000	0.288025	
1000	0.289000	19.439550	473	0.287526	0.008733	527	0.290323	0.289000	0.288028	
1000	0.270000	19.439550	490	0.240816	0.008733	510	0.298039	0.270000	0.287970	
1000	0.310000	19.439550	515	0.306796	0.008733	485	0.313402	0.310000	0.288041	
1000	0.280000	19.439550	513	0.298246	0.008733	487	0.260780	0.280000	0.288015	
1000	0.261000	19.439550	481	0.226611	0.008733	519	0.292871	0.261000	0.287929	
1000	0.270000	19.439550	500	0.252000	0.008733	500	0.288000	0.270000	0.287872	
1000	0.279000	19.439550	508	0.251969	0.008733	492	0.306911	0.279000	0.287844	
1000	0.293000	19.439550	494	0.303644	0.008733	506	0.282609	0.293000	0.287860	
1000	0.268000	19.439550	468	0.250000	0.008733	532	0.283835	0.268000	0.287797	
1000	0.244000	19.439550	498	0.255020	0.008733	502	0.233068	0.244000	0.287659	
1000	0.263000	19.439550	473	0.262156	0.008733	527	0.263757	0.263000	0.287582	
1000	0.312000	19.439550	514	0.319066	0.008733	486	0.304527	0.312000	0.287658	
1000	0.292000	19.439550	511	0.297456	0.008733	489	0.286299	0.292000	0.287672	
1000	0.277000	19.439550	513	0.288499	0.008733	487	0.264887	0.277000	0.287639	
1000	0.260000	19.439550	472	0.245763	0.008733	528	0.272727	0.260000	0.287553	
1000	0.277000	19.439550	485	0.261856	0.008733	515	0.291262	0.277000	0.287521	
1000	0.262000	19.439550	520	0.253846	0.008733	480	0.270833	0.262000	0.287442	
1000	0.264000	19.439550	478	0.271967	0.008733	522	0.256705	0.264000	0.287370	
1000	0.301000	19.439550	529	0.291115	0.008733	471	0.312102	0.301000	0.287412	
