Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.273000	0.057678	528	0.299242	0.000047	472	0.243644	0.273000	0.204527	
1000	0.269000	0.057678	510	0.278431	0.000047	490	0.259184	0.269000	0.205277	
1000	0.270000	0.057678	497	0.273642	0.000047	503	0.266402	0.270000	0.206021	
1000	0.308000	0.057678	489	0.286299	0.000047	511	0.328767	0.308000	0.207179	
1000	0.270000	0.057678	500	0.262000	0.000047	500	0.278000	0.270000	0.207885	
1000	0.252000	0.057678	489	0.259714	0.000047	511	0.244618	0.252000	0.208375	
1000	0.288000	0.057678	505	0.271287	0.000047	495	0.305051	0.288000	0.209250	
1000	0.306000	0.057678	479	0.313152	0.000047	521	0.299424	0.306000	0.210302	
1000	0.302000	0.057678	487	0.305955	0.000047	513	0.298246	0.302000	0.211288	
1000	0.292000	0.057678	508	0.309055	0.000047	492	0.274390	0.292000	0.212147	
1000	0.264000	0.057678	525	0.268571	0.000047	475	0.258947	0.264000	0.212692	
1000	0.297000	0.057678	508	0.297244	0.000047	492	0.296748	0.297000	0.213571	
1000	0.280000	0.057678	491	0.281059	0.000047	509	0.278978	0.280000	0.214256	
1000	0.281000	0.057678	511	0.260274	0.000047	489	0.302658	0.281000	0.214937	
1000	0.281000	0.057678	534	0.280899	0.000047	466	0.281116	0.281000	0.215604	
1000	0.304000	0.057678	503	0.318091	0.000047	497	0.289738	0.304000	0.216488	
1000	0.292000	0.057678	514	0.319066	0.000047	486	0.263374	0.292000	0.217235	
1000	0.256000	0.057678	527	0.263757	0.000047	473	0.247357	0.256000	0.217616	
1000	0.267000	0.057678	515	0.297087	0.000047	485	0.235052	0.267000	0.218095	
1000	0.299000	0.057678	492	0.325203	0.000047	508	0.273622	0.299000	0.218873	
1000	0.255000	0.057678	496	0.274194	0.000047	504	0.236111	0.255000	0.219217	
1000	0.302000	0.057678	516	0.315891	0.000047	484	0.287190	0.302000	0.219998	
1000	0.294000	0.057678	472	0.305085	0.000047	528	0.284091	0.294000	0.220690	
1000	0.272000	0.057678	506	0.282609	0.000047	494	0.261134	0.272000	0.221165	
1000	0.291000	0.057678	492	0.276423	0.000047	508	0.305118	0.291000	0.221805	
1000	0.295000	0.057678	509	0.288802	0.000047	491	0.301426	0.295000	0.222471	
1000	0.316000	0.057678	499	0.308617	0.000047	501	0.323353	0.316000	0.223313	
1000	0.289000	0.057678	512	0.269531	0.000047	488	0.309426	0.289000	0.223900	
1000	0.290000	0.057678	525	0.302857	0.000047	475	0.275789	0.290000	0.224485	
1000	0.310000	0.057678	517	0.292070	0.000047	483	0.329193	0.310000	0.225235	
1000	0.283000	0.057678	545	0.291743	0.000047	455	0.272527	0.283000	0.225737	
1000	0.296000	0.057678	505	0.281188	0.000047	495	0.311111	0.296000	0.226343	
1000	0.279000	0.057678	499	0.278557	0.000047	501	0.279441	0.279000	0.226793	
1000	0.261000	0.057678	519	0.265896	0.000047	481	0.255717	0.261000	0.227083	
1000	0.314000	0.057678	510	0.335294	0.000047	490	0.291837	0.314000	0.227813	
1000	0.276000	0.057678	504	0.281746	0.000047	496	0.270161	0.276000	0.228215	
1000	0.300000	0.057678	516	0.304264	0.000047	484	0.295455	0.300000	0.228808	
