"","Language","InventoryID","iso","Latitude","Longitude","Source","Glottocode"
"326","FASU",326,"faa","-6.62687","143.284","Phoible","fasu1242"
"327","NUBIAN",327,"fia","22.8142","31.8376","Phoible","nobi1240"
"328","FIJIAN",328,"fij","-18.0","178.33","Phoible","fiji1243"
"329","FINNISH",329,"fin","64.7628","25.5577","Phoible","finn1318"
"330","FE?FE?",330,"fmp","5.18158","10.1442","Phoible","fefe1239"
"331","FRENCH",331,"fra","48.0","2.0","Phoible","stan1290"
"332","IATE",332,"fun","-9.02591","-37.1402","Phoible","fuln1247"
"333","FUR",333,"fvr","12.0455","23.6401","Phoible","furr1244"
"334","PO-AI",334,"fwa","-20.6873","164.901","Phoible","fwai1237"
"335","GA",335,"gaa","5.65488","-0.18598","Phoible","gaaa1244"
"336","GADSUP",336,"gaj","-6.31631","145.997","Phoible","gads1258"
"337","GARAWA",337,"gbc","-17.4504","137.72","Phoible","gara1261"
"338","GBEYA",338,"gbp","6.61896","17.645","Phoible","gbay1287"
"339","GWARI",339,"gbr","9.29842","6.90495","Phoible","gbag1258"
"340","GELAO",340,"gio","26.1545","106.235","Phoible","gela1261"
"341","NANAI",341,"gld","48.4343","134.797","Phoible","nana1257"
"342","IRISH",342,"gle","53.2186","-7.61509","Phoible","iris1253"
"344","GUAJIRO",344,"guc","10.2252","-71.8101","Phoible","wayu1243"
"345","GUARANI",345,"gug","-25.6055","-57.0882","Phoible","para1311"
"346","GUAHIBO",346,"guh","5.81736","-68.9839","Phoible","guah1255"
"347","GUAMBIANO",347,"gum","2.55849","-76.582","Phoible","guam1248"
"348","ACHE",348,"guq","-25.5865","-56.4697","Phoible","ache1246"
"349","GUGU-YALANDYI",349,"gvn","-16.0036","145.188","Phoible","kuku1273"
"350","HAKKA",350,"hak","25.0","116.0","Phoible","hakk1236"
"351","HAUSA",351,"hau","11.1513","8.7804","Phoible","haus1257"
"352","HAWAIIAN",352,"haw","19.6297","-155.43","Phoible","hawa1245"
"353","HAIDA",353,"hdn","54.6931","-132.465","Phoible","nort2938"
"354","HINDI-URDU",354,"hin","25.0","77.0","Phoible","hind1269"
"355","HIXKARYANA",355,"hix","-0.16265","-58.8015","Phoible","hixk1239"
"356","HOPI",356,"hop","35.7653","-110.535","Phoible","hopi1249"
"357","HADZA",357,"hts","-3.83115","35.0458","Phoible","hadz1240"
"358","HUNGARIAN",358,"hun","46.9069","19.6555","Phoible","hung1274"
"359","HUPA",359,"hup","41.0982","-123.68","Phoible","hupa1239"
"360","HUASTECO",360,"hus","21.6153","-98.5028","Phoible","huas1242"
"361","HUAVE",361,"huv","16.2129","-95.0077","Phoible","sanm1287"
"362","ARMENIAN",362,"hye","40.0","45.0","Phoible","nucl1235"
"363","IAI",363,"iai","-20.6301","166.59","Phoible","iaai1238"
"364","IBAN",364,"iba","2.09041","112.934","Phoible","iban1264"
"365","IGBO",365,"ibo","4.62705","7.23441","Phoible","nucl1417"
"366","MOXO",366,"ign","-15.1188","-65.3993","Phoible","igna1246"
"367","KOLOKUMA IJO",367,"ijc","5.17986","5.51702","Phoible","izon1238"
"368","IK",368,"ikx","3.61407","34.2507","Phoible","ikkk1242"
"369","IRARUTU",369,"irh","-2.94438","133.586","Phoible","irar1238"
"370","IRAQW",370,"irk","-4.19948","35.2939","Phoible","iraq1241"
"371","IRANXE",371,"irn","-12.7178","-57.9806","Phoible","iran1263"
"372","ISOKO",372,"iso","5.52889","6.24682","Phoible","isok1239"
"373","ITELMEN",373,"itl","56.7798","156.906","Phoible","itel1242"
"374","ITONAMA",374,"ito","-12.8043","-64.3575","Phoible","iton1250"
"375","MIEN",375,"ium","20.83","101.17","Phoible","iumi1238"
"376","IVATAN",376,"ivv","20.3848","121.975","Phoible","ivat1242"
"377","IWAM",377,"iwm","-4.27346","141.817","Phoible","iwam1256"
"378","JACALTEC",378,"jac","15.6609","-91.6633","Phoible","popt1235"
"379","YANYPHA",379,"jao","-15.7621","136.055","Phoible","yany1243"
"380","JAVANESE",380,"jav","-0.572307","110.885","Phoible","java1254"
"381","JEBERO",381,"jeb","-5.40317","-76.4103","Phoible","jebe1250"
