"","Language","InventoryID","iso","Latitude","Longitude","Source","Glottocode"
"1103","Blackfoot",1103,"bla","49.0669","-113.109","Phoible","siks1238"
"1104","Biloxi",1104,"bll","31.32","-89.1951","Phoible","bilo1248"
"1105","Belizean Creole",1105,"bzj","17.3941","-88.6281","Phoible","beli1260"
"1106","Koasati",1106,"cku","30.4096","-92.709","Phoible","koas1236"
"1107","Comox",1107,"coo","49.7233","-124.967","Phoible","como1259"
"1108","Sochiapan Chinantec",1108,"cso","17.7985","-96.6079","Phoible","soch1239"
"1109","Dimili",1109,"diq","38.6147","39.6388","Phoible","diml1238"
"1110","Etsako",1110,"ets","7.10204","6.44919","Phoible","yekh1238"
"1111","Frisian",1111,"frr","54.6409","8.58489","Phoible","nort2626"
"1112","Gojri; Gujari; Gujar",1112,"gju","34.3768","73.1461","Phoible","guja1253"
"1113","Wanano",1113,"gvc","1.07554","-69.5705","Phoible","guan1269"
"1114","Kihungan",1114,"hum","-3.69695","18.4312","Phoible","hung1278"
"1115","Chilliwak Halkomelem",1115,"hur","48.0751","-122.029","Phoible","halk1245"
"1116","Huastec",1116,"hus","21.6153","-98.5028","Phoible","huas1242"
"1117","Ilocano",1117,"ilo","15.9361","120.993","Phoible","ilok1237"
"1118","Kadiweu",1118,"kbc","-19.7222","-57.582","Phoible","kadi1248"
"1119","Kuteb",1119,"kub","7.07479","10.0916","Phoible","kute1248"
"1120","Awa Pit",1120,"kwi","1.21652","-78.3401","Phoible","awac1239"
"1121","Lisu",1121,"lis","22.5488","94.0184","Phoible","lisu1250"
"1122","Loniu",1122,"los","-2.06124","147.35","Phoible","loni1238"
"1123","Molalla",1123,"mbe","44.556","-122.857","Phoible","mola1238"
"1124","Matses",1124,"mcf","-5.73914","-72.6281","Phoible","mats1244"
"1125","Manipuri",1125,"mni","24.4409","93.3426","Phoible","mani1292"
"1126","Mandingo",1126,"mnk","12.8165","-15.6539","Phoible","mand1436"
"1127","Mocovi",1127,"moc","-28.097","-60.4145","Phoible","moco1246"
"1128","Western Mam; Tacanec",1128,"mam","14.8034","-91.7231","Phoible","mamm1241"
"1129","Mundurukú",1129,"myu","-8.41095","-57.691","Phoible","mund1330"
"1130","Nishgha",1130,"ncg","55.199","-129.192","Phoible","nisg1240"
"1131","Low German",1131,"nds","50.771","6.092","Phoible","nort2627"
"1132","Northern Pame",1132,"pmq","22.0968","-99.6434","Phoible","nort2984"
"1133","Panamint",1133,"par","36.0007","-117.901","Phoible","pana1305"
"1134","Nigerian Pidgin",1134,"pcm","9.65873","4.21068","Phoible","nige1257"
"1135","Northern Pomo",1135,"pej","39.1084","-123.209","Phoible","nort2966"
"1136","Texistepec Popoluca",1136,"poq","17.8926","-94.8076","Phoible","texi1237"
"1137","Eastern Khanty",1137,"kca","62.4308","66.1218","Phoible","khan1273"
"1138","Catalan",1138,"cat","41.8983","3.39375","Phoible","stan1289"
"1139","Croatian",1139,"hrv","45.2006","16.826","Phoible","croa1245"
"1140","Czech",1140,"ces","49.873398","15.10437","Phoible","czec1258"
"1141","Galician",1141,"glg","42.2446","-7.5343","Phoible","gali1258"
"1142","Kabiye",1142,"kbp","8.96816","0.495023","Phoible","kabi1261"
"1143","Mono",1143,"mnh","4.57915","19.8264","Phoible","mono1270"
"1144","Indonesian",1144,"ind","-7.33458","109.716","Phoible","indo1316"
"1145","Italian",1145,"ita","43.0464","12.6489","Phoible","ital1282"
"1146","Salasaca Quichua",1146,"qxl","-1.35447","-78.3953","Phoible","sala1272"
"1147","Seri",1147,"sei","28.9877","-112.384","Phoible","seri1257"
"1148","Sindhi",1148,"snd","26.0","69.0","Phoible","sind1272"
"1149","Slovene",1149,"slv","46.2543","14.7766","Phoible","slov1268"
"1150","Swedish",1150,"swe","59.800634","17.389526","Phoible","swed1254"
"1151","Taba",1151,"mky","0.07337","127.423","Phoible","east2440"
"1152","Tukang Besi",1152,"khc","-5.30994","123.578","Phoible","tuka1248"
"1153","Yine",1153,"pib","-11.1086","-73.3087","Phoible","yine1238"
"1154","Quiche",1154,"quc","14.5278","-91.1696","Phoible","kich1262"
"1155","Huallaga (Huanuco) Quechua",1155,"qvh","-9.15718","-76.3372","Phoible","huam1248"
"1156","Sipakapense Maya",1156,"qum","15.2305","-91.7041","Phoible","sipa1247"
"1157","Chimborazo Quichua",1157,"qug","-1.36727","-78.8521","Phoible","chim1302"
"1158","Tepehua",1158,"tpt","20.704","-98.1947","Phoible","tlac1235"
"1159","Abulas",1159,"abt","-3.7801","143.059","Phoible","ambu1247"
"1160","Abau",1160,"aau","-3.97222","141.324","Phoible","abau1245"
"1161","Agaw",1161,"ahg","12.8119","37.0542","Phoible","qima1242"
"1162","Akha",1162,"ahk","21.2309","100.964","Phoible","akha1245"
"1163","Alyawarra",1163,"aly","-21.0427","136.835","Phoible","alya1239"
"1164","Amanab",1164,"amn","-3.51516","141.178","Phoible","aman1265"
"1165","Anywa",1165,"anu","7.57714","34.0267","Phoible","anua1242"
"1166","Arandai",1166,"jbj","-2.08016","132.983","Phoible","aran1237"
"1167","Arapesh",1167,"aon","-3.65508","142.859","Phoible","bumb1241"
"1168","Tanacross",1168,"tcb","63.4046","-143.338","Phoible","tana1290"
"1169","Au",1169,"avt","-3.53277","142.105","Phoible","auuu1241"
"1170","Tinputz",1170,"tpz","-5.58358","154.972","Phoible","tinp1237"
"1171","Petats",1171,"pex","-5.34068","154.593","Phoible","peta1245"
"1172","Patep",1172,"ptp","-6.91988","146.639","Phoible","pate1247"
"1173","Kela",1173,"kcl","-7.47103","147.173","Phoible","kela1255"
"1174","Sursurunga",1174,"sgz","-3.99078","152.768","Phoible","surs1246"
"1175","Awara",1175,"awx","-6.16986","146.372","Phoible","awar1248"
"1176","Awing",1176,"azo","5.88362","10.264","Phoible","awin1248"
"1177","Awtuw",1177,"kmn","-3.53129","141.928","Phoible","awtu1239"
"1178","Baba",1178,"bbw","6.11222","10.5216","Phoible","baba1264"
"1179","Babanki",1179,"bbk","5.97863","10.2869","Phoible","baba1266"
"1180","Bakoko",1180,"bkh","3.56518","9.99905","Phoible","bako1249"
"1181","Bali-Kumbat",1181,"muo","7.27419","11.0615","Phoible","nyon1241"
"1182","Bamunka",1182,"bvm","6.00203","10.5127","Phoible","bamu1256"
"1183","Bangolan",1183,"bgj","6.0125","10.667","Phoible","bang1356"
"1184","Banoo",1184,"bnm","2.08708","9.75107","Phoible","bata1285"
"1185","Bariai",1185,"bch","-5.5087","148.666","Phoible","bari1286"
"1186","Befang",1186,"bby","6.27562","10.0342","Phoible","befa1241"
"1187","Ida'an",1187,"dbj","5.29059","118.515","Phoible","idaa1241"
"1188","Bemba",1188,"bem","-10.6122","29.2993","Phoible","bemb1257"
"1189","Berbice Dutch",1189,"brc","5.3829","-58.0002","Phoible","berb1259"
"1190","Betta Kurumba",1190,"xub","11.6385","76.6064","Phoible","bett1235"
"1191","Biak",1191,"bhw","-0.9523","135.879","Phoible","biak1248"
"1192","Bilinara",1192,"nbj","-15.4661","130.651","Phoible","ngar1235"
"1193","Binandere",1193,"bhg","-8.37433","147.884","Phoible","bina1277"
"1194","Bobo",1194,"bwq","11.5409","-4.26497","Phoible","sout2840"
"1195","Bole",1195,"bol","11.4839","11.2322","Phoible","nucl1695"
"1196","Bongo",1196,"bot","7.4145","27.9918","Phoible","bong1285"
"1197","Boro",1197,"bwo","10.6596","35.345","Phoible","boro1277"
"1198","Brokskat",1198,"bkk","34.5308","76.6026","Phoible","brok1247"
"1199","Baga Sitem",1199,"bsp","10.4793","-14.4756","Phoible","baga1272"
"1200","Bubia",1200,"bbx","4.02178","9.22304","Phoible","bubi1249"
"1201","Bukusu",1201,"bxk","0.68043","34.7719","Phoible","buku1249"
"1202","Subiya",1202,"sbs","-17.5696","24.8867","Phoible","subi1246"
"1203","Totela",1203,"ttl","-16.9575","24.3751","Phoible","tote1238"
"1204","Bambalang; Círàmbɔ́",1204,"bmo","5.861","10.544","Phoible","bamb1265"
"1205","North Marquesan",1205,"mrq","-8.89412","-140.108","Phoible","nort2845"
"1206","Öñge; Ong; Onge",1206,"oon","10.6926","92.4707","Phoible","onge1236"
"1207","Oluta Popoluca; Olutec",1207,"plo","17.8937","-94.8863","Phoible","olut1240"
"1208","Jiarong",1208,"jya","31.6029","102.229","Phoible","jiar1239"
"1209","Suri",1209,"suq","6.03205","35.0823","Phoible","suri1267"
"1210","Bilua",1210,"blb","-7.92388","156.663","Phoible","bilu1245"
"1211","Hoava",1211,"hoa","-8.19679","157.595","Phoible","hoav1238"
"1212","Filipino",1212,"fil","12.265","123.464","Phoible","fili1244"
"1213","Ngad'a; Ngadha",1213,"nxg","-8.79508","120.976","Phoible","ngad1261"
"1214","Muna",1214,"mnb","-5.40419","122.541","Phoible","muna1247"
"1215","Ke'o; Kéo",1215,"xxk","-8.8704","121.256","Phoible","keoo1238"
"1216","Aheu; Thavung",1216,"thm","17.7655","104.229","Phoible","aheu1239"
"1217","Sakirabiá; Mekens",1217,"skf","-13.054","-62.0927","Phoible","saki1248"
"1218","Tiwi",1218,"tiw","-11.6308","130.949","Phoible","tiwi1244"
"1219","Torwali",1219,"trw","35.3101","72.5316","Phoible","torw1241"
"1220","Thulung; Thulung Rai",1220,"tdh","27.5389","87.6063","Phoible","thul1246"
"1221","Tshangla",1221,"tsj","27.3694","91.7741","Phoible","tsha1245"
"1222","Colorado; Tsafiki",1222,"cof","-0.21181","-79.2347","Phoible","colo1256"
"1223","Tzutujil",1223,"tzj","14.6351","-91.2012","Phoible","tzut1248"
"1224","Pwo Karen",1224,"pww","18.016","98.2709","Phoible","pwon1235"
"1225","Tuva; Tuvan",1225,"tyv","48.436","92.6693","Phoible","tuvi1240"
"1226","Kinnauri; Kanauri",1226,"kfk","31.3688","78.3148","Phoible","kinn1249"
"1227","Mewati",1227,"wtm","27.736","76.947","Phoible","mewa1250"
"1228","Aneityum; Anejom̃",1228,"aty","-20.1864","169.825","Phoible","anei1239"
"1229","Zaiwa",1229,"atb","24.1726","98.3643","Phoible","zaiw1241"
"1230","Chickasaw",1230,"cic","33.9452","-97.1301","Phoible","chic1270"
"1231","Friulian",1231,"fur","46.1473","13.0493","Phoible","friu1240"
"1232","Jicarilla Apache",1232,"apj","36.8079","-107.007","Phoible","jica1244"
"1233","Ega",1233,"ega","5.56081","-5.41732","Phoible","egaa1242"
"1234","Adamawa Fulfulde; Adamawa Fulani",1234,"fub","8.896","15.8384","Phoible","adam1253"
"1235","Arrarnte",1235,"are","-24.0505","133.246","Phoible","west2441"
"1236","Sanuma; Sanumá",1236,"xsu","1.31875","-67.6498","Phoible","sanu1240"
"1237","Wari; Wari'; Wariʔ; Oro Nao",1237,"pav","-10.6995","-64.5615","Phoible","wari1268"
"1238","Crow",1238,"cro","45.368","-107.874","Phoible","crow1244"
"1239","Barbareño",1239,"boi","34.462","-119.699","Phoible","barb1263"
"1240","Lele (Lyélé)",1240,"lee","12.4305","-2.59229","Phoible","lyel1241"
"1241","Fulfulde (Cameroon)",1241,"fub","8.896","15.8384","Phoible","adam1253"
"1242","Anyi Sanvi",1242,"any","6.31781","-3.30532","Phoible","anyi1245"
"1243","Agni Djuablin",1243,"any","6.31781","-3.30532","Phoible","anyi1245"
"1244","Agni Morofo",1244,"mtb","6.1627","-4.64232","Phoible","anyi1244"
"1245","Akan",1245,"aka","6.34756","-1.33254","Phoible","akan1250"
"1246","anufɔ",1246,"cko","10.2839","0.56021","Phoible","anuf1239"
"1247","babole",1247,"bvx","1.07773","17.2305","Phoible","dibo1245"
"1248","bana",1248,"bcw","10.3535","13.6131","Phoible","bana1305"
"1249","baka",1249,"bdh","4.65943","29.59","Phoible","baka1274"
"1250","aja",1250,"aja","8.58003","25.6122","Phoible","ajas1235"
"1251","bila",1251,"bip","1.16839","28.7626","Phoible","bila1255"
"1252","busa",1252,"bqp","9.91074","4.39929","Phoible","busa1253"
"1253","fulfulde (fuunaangere)",1253,"fub","8.896","15.8384","Phoible","adam1253"
"1254","fulfulde (NGA)",1254,"fuv","10.9972","11.1188","Phoible","nige1253"
"1255","herero",1255,"her","-21.0231","20.5655","Phoible","here1253"
"1256","Senoufo-Cebaara",1256,"sef","9.50768","-6.15264","Phoible","ceba1235"
"1257","songhoy",1257,"khq","16.192","-3.73962","Phoible","koyr1240"
"1258","kpaʔ",1258,"ksf","4.72603","11.0982","Phoible","bafi1243"
"1259","lega-shabunda",1259,"lea","-3.83196","27.1424","Phoible","lega1249"
"1260","limbum (southern)",1260,"lmp","6.58608","10.9802","Phoible","limb1268"
"1261","limbum (central)",1261,"lmp","6.58608","10.9802","Phoible","limb1268"
"1262","limbum (northern)",1262,"lmp","6.58608","10.9802","Phoible","limb1268"
"1263","myene",1263,"mye","-1.48741","9.50247","Phoible","myen1241"
"1264","N'cam",1264,"bud","9.23971","0.599275","Phoible","ntch1242"
"1265","Nen",1265,"baz","4.67724","10.5456","Phoible","tune1241"
"1266","matuumbi",1266,"mgw","-8.53734","39.0409","Phoible","matu1259"
"1267","yao",1267,"yao","-13.6119","35.2387","Phoible","yaoo1241"
"1268","umbundu",1268,"umb","-12.4763","14.4148","Phoible","umbu1257"
"1269","ndonga",1269,"ndo","-17.6417","19.1631","Phoible","ndon1254"
"1270","mbukushu",1270,"mhw","-17.6827","22.5026","Phoible","mbuk1240"
"1271","diriku",1271,"diu","-18.1681","20.6678","Phoible","diri1252"
"1272","kwangari",1272,"kwn","-17.9026","19.256","Phoible","kwan1273"
"1273","soninke (kaedi (MRT))",1273,"snk","13.1273","-11.7178","Phoible","soni1259"
"1274","Songhay, Koyraboro Senni",1274,"ses","16.9634","-0.55187","Phoible","koyr1242"
"1275","Lele",1275,"lln","9.158","15.8115","Phoible","lele1276"
"1276","Ikalanga",1276,"kck","-21.2887","27.401","Phoible","kala1384"
"1277","mongo-nkundu",1277,"lol","-1.54228","20.4259","Phoible","mong1338"
"1278","longto",1278,"wok","8.33313","13.0568","Phoible","long1387"
"1279","xwela",1279,"xwe","6.41342","2.02985","Phoible","xwel1235"
"1280","western xwla",1280,"xwl","6.33455","2.03904","Phoible","west2456"
"1281","kotafon",1281,"kqk","6.64027","1.72346","Phoible","kota1272"
"1282","gbesi",1282,"gbs","6.55911","2.0269","Phoible","gbes1238"
"1283","machame",1283,"jmc","-3.29385","37.0703","Phoible","mach1266"
"1284","mada",1284,"mda","9.02294","8.34119","Phoible","mada1282"
"1285","mbe",1285,"mfo","6.57067","8.82998","Phoible","mbee1249"
"1286","ngwe",1286,"nwe","5.49787","9.9028","Phoible","ngwe1238"
"1287","jowulu",1287,"jow","10.7691","-5.47873","Phoible","jowu1238"
"1288","yala",1288,"yba","6.73852","8.60748","Phoible","yala1263"
"1289","cilungu",1289,"mgr","-8.86817","31.2269","Phoible","mamb1296"
"1290","kete",1290,"kcv","-7.15104","22.9027","Phoible","kete1252"
"1291","kwezo",1291,"kws","-5.60445","18.5759","Phoible","kwes1244"
"1292","Madi",1292,"snm","2.8735","31.25","Phoible","sout2828"
"1293","Moru",1293,"mgd","5.1232","30.3287","Phoible","moru1253"
"1294","Logo",1294,"log","3.32608","29.8866","Phoible","logo1259"
"1295","Afitti",1295,"aft","12.446","30.7611","Phoible","afit1238"
"1296","Avatime",1296,"avn","6.8688","0.41314","Phoible","avat1244"
"1297","Abua",1297,"abn","4.83057","6.61492","Phoible","abua1244"
"1298","Anyi",1298,"any","6.31781","-3.30532","Phoible","anyi1245"
"1299","Dghwede",1299,"dgh","11.0575","13.7785","Phoible","dghw1239"
"1300","Eloyi",1300,"afo","8.24696","7.97061","Phoible","eloy1241"
"1301","Fula (Nigeria)",1301,"fuv","10.9972","11.1188","Phoible","nige1253"
"1302","Gechode",1302,"acd","8.39478","0.56975","Phoible","giky1238"
"1303","Genyanga",1303,"ayg","8.2327","0.98348","Phoible","giny1241"
"1304","Kilba",1304,"hbb","10.3544","13.139","Phoible","huba1236"
"1305","Kofyar",1305,"kwl","8.79947","9.15279","Phoible","kofy1242"
"1306","Krache",1306,"kye","7.93475","0.01925","Phoible","krac1238"
"1307","Krim",1307,"krm","7.24116","-11.8393","Phoible","krim1238"
"1308","Banda, West Central",1308,"bbp","6.81435","24.1012","Phoible","west2458"
"1309","Dinka, South Central",1309,"dib","6.7307","30.3021","Phoible","sout2833"
"1310","Foodo",1310,"fod","9.56489","1.40486","Phoible","food1238"
"1311","Joola Huluf",1311,"csk","12.5089","-16.5539","Phoible","jola1262"
"1312","Jumjum",1312,"jum","10.4349","33.7494","Phoible","jumj1238"
"1313","Burun",1313,"bdi","10.725","33.921","Phoible","buru1301"
"1314","Lulubo",1314,"lul","4.6242","31.9103","Phoible","olub1238"
"1315","Maay",1315,"ymm","3.22288","43.6182","Phoible","maay1238"
"1316","Mabaan",1316,"mfz","9.81455","33.5404","Phoible","maba1273"
"1317","Nizaa",1317,"sgi","7.12906","12.3779","Phoible","suga1248"
"1318","Copi",1318,"cce","-24.8327","34.1097","Phoible","chop1243"
"1319","Xhosa",1319,"xho","-31.0389","28.0769","Phoible","xhos1239"
"1320","Siwu",1320,"akp","7.23811","0.44362","Phoible","siwu1238"
"1321","Sherbro",1321,"bun","7.77585","-12.7405","Phoible","sher1258"
"1322","Mmani",1322,"buy","9.0","-13.16","Phoible","bull1247"
"1323","Hill Guang",1323,"cpn","6.05387","-0.10955","Phoible","cher1271"
"1324","Ndut-Falor",1324,"fap","14.8628","-16.9557","Phoible","palo1243"
"1325","Frafra",1325,"gur","11.0918","-0.81109","Phoible","fare1241"
"1326","Likpe",1326,"lip","7.16751","0.5886","Phoible","sekp1241"
"1327","Mampruli",1327,"maw","10.3884","-0.74675","Phoible","mamp1244"
"1328","Shanjo",1328,"toi","-17.4223","27.1035","Phoible","tong1318"
"1329","Pajade",1329,"pbp","12.6425","-13.4759","Phoible","bady1239"
"1330","Sele",1330,"snw","7.17462","0.42458","Phoible","sele1249"
"1331","Tiv",1331,"tiv","6.88039","9.26287","Phoible","tivv1240"
"1332","Blin",1332,"byn","15.7833","38.3917","Phoible","bili1260"
"1333","Xamtanga",1333,"xan","12.4479","38.8352","Phoible","xamt1239"
"1334","Lika",1334,"lik","2.13777","27.6088","Phoible","lika1243"
"1335","Yanzi",1335,"yns","-3.8231","18.2341","Phoible","yans1239"
"1336","Kibudu",1336,"buu","2.00501","27.951","Phoible","budu1250"
"1337","Iikile",1337,"khy","0.36906","24.3098","Phoible","kele1255"
"1338","Lengola",1338,"lej","-1.95874","25.3343","Phoible","leng1258"
"1339","Kaliko",1339,"kbo","3.56039","30.556","Phoible","keli1248"
"1340","Wongo",1340,"won","-5.73837","20.5054","Phoible","wong1247"
"1341","Mwali",1341,"wlc","-12.3164","43.741","Phoible","mwal1237"
"1342","Afar",1342,"aar","12.2281","41.8083","Phoible","afar1241"
"1343","Mundang",1343,"mua","9.83195","14.4751","Phoible","mund1325"
"1344","Mono",1344,"mru","8.78372","14.2254","Phoible","mono1269"
"1345","Tupuri",1345,"tui","10.0144","14.8697","Phoible","tupu1244"
"1346","Kuo",1346,"xuo","7.97771","15.4843","Phoible","kuoo1238"
"1347","Kare",1347,"kbn","7.05641","15.2207","Phoible","kare1338"
"1348","Galke",1348,"gke","8.09039","14.2888","Phoible","ndai1238"
"1349","Northern Mao",1349,"myf","9.82554","34.6522","Phoible","bamb1262"
"1350","Tigrinya",1350,"tir","15.3359","38.9266","Phoible","tigr1271"
"1351","Karimojong",1351,"kdj","2.45157","34.2761","Phoible","kara1483"
"1352","Gwandara (Karshi)",1352,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1353","Gwandara (Cancara)",1353,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1354","Gwandara (Toni)",1354,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1355","Gwandara (Gitata)",1355,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1356","Gwandara (Koro)",1356,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1357","Gwandara (Nimbia)",1357,"gwn","9.20464","7.49931","Phoible","gwan1268"
"1358","Avikam",1358,"avi","5.15838","-5.2529","Phoible","avik1243"
"1359","Shilluk",1359,"shk","9.85472","31.7926","Phoible","shil1265"
"1360","San",1360,"hgm","-19.7637","17.0299","Phoible","haio1238"
"1361","Pero",1361,"pip","9.62092","11.044","Phoible","pero1241"
"1362","Galla",1362,"gax","1.05676","37.882","Phoible","bora1271"
"1363","Hadiyya",1363,"hdy","7.57377","37.7577","Phoible","hadi1240"
"1364","Welamo",1364,"wal","6.32668","37.7537","Phoible","wola1242"
"1365","Nyanga",1365,"njx","-3.69702","12.5197","Phoible","kuny1238"
"1366","Otuho",1366,"lot","4.16379","32.6641","Phoible","otuh1238"
"1367","Orusyan",1367,"myx","1.05906","34.2829","Phoible","masa1299"
"1368","Higi",1368,"hig","10.646","13.5136","Phoible","kamw1239"
"1369","Manya",1369,"mzj","8.56186","-9.44257","Phoible","many1261"
"1370","Syan",1370,"say","9.69441","9.71748","Phoible","saya1246"
"1371","Nzɛbi",1371,"nzb","-2.18115","12.7063","Phoible","njeb1242"
"1372","Tadaksahak",1372,"dsq","16.685","2.32653","Phoible","tada1238"
"1373","Kambaata",1373,"ktb","7.37582","37.9088","Phoible","kamb1316"
"1374","Otoro",1374,"otr","11.1187","30.573","Phoible","otor1240"
"1375","Tira",1375,"tic","11.0963","30.8092","Phoible","tira1254"
"1376","Nyam",1376,"nmi","9.18024","10.8365","Phoible","nyam1285"
"1377","Kirya-Konzɘl",1377,"fli","10.5419","13.4087","Phoible","fali1285"
"1378","Mawa",1378,"mcw","11.7461","18.2999","Phoible","mawa1270"
"1379","!Xóõ",1379,"nmn","-24.2002","20.7958","Phoible","xooo1239"
"1380","Koalib",1380,"kib","11.6965","30.4717","Phoible","koal1240"
"1381","Kagulu",1381,"kki","-6.38204","37.0534","Phoible","kagu1239"
"1382","Oko",1382,"oks","7.53908","6.15725","Phoible","okoe1238"
"1383","!Xun",1383,"xuu","-16.5905","22.5998","Phoible","kxoe1243"
"1384","Banjun",1384,"bbj","5.39619","10.352","Phoible","ghom1247"
"1385","Defaka",1385,"afn","4.58451","7.50186","Phoible","defa1248"
"1386","Tee",1386,"tkq","4.73213","7.37553","Phoible","teee1242"
"1387","Kipsigis",1387,"sgc","-0.35774","35.258532","Phoible","kips1239"
"1388","Pangwa",1388,"pbr","-9.96782","34.8039","Phoible","pang1287"
"1389","Holoholo",1389,"hoo","-5.37545","28.3274","Phoible","holo1240"
"1390","Buli",1390,"bwu","10.5763","-1.26748","Phoible","buli1254"
"1391","Balante",1391,"bjt","12.5382","-15.6658","Phoible","bala1302"
"1392","Kinyambo",1392,"now","-1.6096","30.9156","Phoible","nyam1277"
"1393","Dan",1393,"daf","7.22812","-8.24535","Phoible","dann1241"
"1394","Pokot",1394,"pko","1.57023","35.2318","Phoible","poko1263"
"1395","Afrikaans",1395,"afr","-22.0","30.0","Phoible","afri1274"
"1396","Argobba",1396,"agj","10.6596","39.756","Phoible","argo1244"
"1397","Harari",1397,"har","9.30485","42.1332","Phoible","hara1271"
"1399","Nzema",1399,"nzi","5.1785","-2.81123","Phoible","nzim1238"
"1400","Ahanta",1400,"aha","4.85147","-1.94657","Phoible","ahan1243"
"1401","Besleri",1401,"hna","10.3805","13.8405","Phoible","mina1276"
"1402","Buwal",1402,"bhs","10.6151","13.8838","Phoible","buwa1243"
"1403","Hide",1403,"xed","10.942","13.6881","Phoible","hdii1240"
"1404","Lamang",1404,"hia","11.0243","13.7362","Phoible","lama1288"
"1405","Ikwere",1405,"ikw","5.04333","6.86651","Phoible","ikwe1242"
"1406","Lagwan",1406,"kot","11.5592","14.9884","Phoible","lagw1237"
"1407","Mbodomo",1407,"gmm","4.70037","14.9569","Phoible","gbay1281"
"1408","Mbuko",1408,"mqb","10.7788","14.1677","Phoible","mbuk1243"
"1409","Moloko",1409,"mlw","10.7933","14.2521","Phoible","molo1266"
"1410","Muyang",1410,"muy","10.8605","14.2125","Phoible","muya1243"
"1411","Ngomba",1411,"jgo","5.63067","10.237","Phoible","ngom1272"
"1412","Kemezung",1412,"dmo","6.69577","10.4984","Phoible","keme1240"
"1413","Nateni",1413,"ntm","10.5191","1.21879","Phoible","nate1242"
"1414","Silt'i",1414,"stv","7.77004","38.1449","Phoible","silt1240"
"1415","Weh",1415,"weh","6.46164","10.121","Phoible","wehh1238"
"1416","Tulishi",1416,"tey","11.4507","29.108","Phoible","tuli1249"
"1417","Keiga",1417,"kec","11.2064","29.3889","Phoible","keig1242"
"1418","Krongo",1418,"kgo","10.514","30.003","Phoible","kron1241"
"1419","Kanga (Kanga)",1419,"kcp","11.0174","29.3463","Phoible","kang1288"
"1420","Kanga (Kufa)",1420,"kcp","11.0174","29.3463","Phoible","kang1288"
"1421","Kadugli (Kadugli)",1421,"xtc","10.8423","29.4914","Phoible","katc1249"
"1422","Kadugli (Miri)",1422,"xtc","10.8423","29.4914","Phoible","katc1249"
"1423","Kadugli (Katcha)",1423,"xtc","10.8423","29.4914","Phoible","katc1249"
"1424","Morokodo",1424,"mgc","5.5103","30.0229","Phoible","moro1284"
"1425","Aringa",1425,"luc","3.56143","31.3071","Phoible","arin1244"
"1426","These",1426,"keg","11.3885","29.5803","Phoible","tese1238"
"1427","Lumun",1427,"lmd","10.8308","30.253","Phoible","lumu1239"
"1428","Asharon",1428,"acz","10.8827","30.3187","Phoible","ache1245"
"1429","Tocco",1429,"taz","10.8828","30.1567","Phoible","toch1257"
"1430","Thakik",1430,"dec","10.583","29.9404","Phoible","dagi1241"
"1431","Didinga",1431,"did","4.21489","33.6869","Phoible","didi1258"
"1432","Luwo",1432,"lwo","7.35089","28.1378","Phoible","luwo1239"
"1433","Acholi",1433,"ach","3.57738","32.5147","Phoible","acol1236"
"1434","Belanda Boor",1434,"bxb","6.6503","27.8232","Phoible","bela1256"
"1435","Belanda Viri",1435,"bvi","7.41311","27.6956","Phoible","bela1255"
"1436","Ndogo",1436,"ndz","7.73028","27.5588","Phoible","ndog1248"
"1437","Bade",1437,"bde","12.789","10.6557","Phoible","bade1248"
"1438","Pichi",1438,"fpe","3.53638","8.68929","Phoible","fern1234"
"1439","Jita",1439,"jit","-1.62681","33.9141","Phoible","jita1239"
"1440","Dime",1440,"dim","6.20951","36.3329","Phoible","dime1235"
"1442","Jamsay, Dogon",1442,"djm","14.1794","-2.57999","Phoible","jams1239"
"1443","Kikamba",1443,"kam","-1.60827","37.9532","Phoible","kamb1297"
"1444","Bafia",1444,"ksf","4.72603","11.0982","Phoible","bafi1243"
"1445","Lango",1445,"laj","2.13867","33.0553","Phoible","lang1324"
"1447","Nyole",1447,"nuj","0.88072","33.9181","Phoible","nyol1238"
"1448","Kimwani",1448,"wmw","-12.5821","40.4601","Phoible","mwan1247"
"1449","Shekgalagari",1449,"xkv","-25.9208","22.7202","Phoible","kgal1244"
"1450","Tigemaxo Bozo",1450,"boz","14.1223","-5.08609","Phoible","tiey1235"
"1451","Alaaba",1451,"alw","7.39014","38.1732","Phoible","alab1254"
"1452","Degema",1452,"deg","4.73373","6.80991","Phoible","dege1246"
"1453","Basari",1453,"bsc","12.4529","-13.3495","Phoible","bass1258"
"1454","Principense",1454,"pre","1.614","7.392","Phoible","prin1242"
"1455","Nkonya",1455,"nko","7.20316","0.3209","Phoible","nkon1245"
"1456","Soddo",1456,"gru","8.33561","38.4763","Phoible","kist1241"
"1457","Goggot",1457,"gru","8.33561","38.4763","Phoible","kist1241"
"1458","Masqan",1458,"mvz","8.10617","38.3386","Phoible","mesq1240"
"1459","Muher",1459,"sgw","8.11879","37.9891","Phoible","seba1251"
"1460","Ezha",1460,"sgw","8.11879","37.9891","Phoible","seba1251"
"1461","Chaha",1461,"sgw","8.11879","37.9891","Phoible","seba1251"
